OPP,Result,T Score,LAST_N_3PTM,LAST_N_PTS,SEASON_AVG,PTS
HOU,1,131,3.4444444444444446,25.11111111111111,25.555555555555557,27
OKC,0,115,2.5555555555555554,22.444444444444443,25.578125,19
MIA,1,104,2.5555555555555554,22.0,25.476923076923075,32
UTA,1,116,2.888888888888889,22.77777777777778,25.575757575757574,27
CLE,1,112,2.7777777777777777,22.22222222222222,25.597014925373134,23
IND,1,117,2.888888888888889,22.444444444444443,25.558823529411764,21
OKC,1,117,3.2222222222222223,22.333333333333332,25.492753623188406,19
TOR,1,126,3.111111111111111,23.333333333333332,25.4,32
PHI,1,126,3.3333333333333335,24.444444444444443,25.492957746478872,13
MIN,1,110,3.4444444444444446,23.666666666666668,25.319444444444443,25
LAC,0,86,3.6666666666666665,23.444444444444443,25.315068493150687,14
LAL,0,105,3.5555555555555554,22.88888888888889,25.16216216216216,22
SAC,1,128,3.0,21.77777777777778,25.12,12
OKC,1,114,2.6666666666666665,20.11111111111111,24.94736842105263,34
MEM,0,98,2.888888888888889,21.333333333333332,25.064935064935064,19
NOP,1,128,2.5555555555555554,21.11111111111111,24.987179487179485,34
DAL,1,105,3.111111111111111,22.77777777777778,25.10126582278481,29
HOU,1,105,2.888888888888889,22.444444444444443,25.15,20
MIN,1,102,2.888888888888889,23.22222222222222,25.08641975308642,21
CHI,1,112,2.5555555555555554,22.77777777777778,25.036585365853657,19
NOP,1,112,2.5555555555555554,23.333333333333332,24.96385542168675,19
ORL,1,98,2.6666666666666665,23.0,24.892857142857142,22
DET,1,104,2.888888888888889,24.11111111111111,24.858823529411765,16
CHA,1,106,2.4444444444444446,22.11111111111111,24.75581395348837,26
ORL,1,111,2.4444444444444446,22.88888888888889,24.770114942528735,28
MIA,1,114,2.4444444444444446,22.22222222222222,24.806818181818183,40
OKC,1,91,3.0,23.444444444444443,24.97752808988764,15
UTA,1,101,2.888888888888889,22.88888888888889,24.866666666666667,8
