OPP,Result,T Score,LAST_N_3PTM,LAST_N_PTS,SEASON_AVG,PTS,ORDER
BKN,0,90,2.7777777777777777,16.444444444444443,18.38888888888889,15,19
CLE,1,95,2.555555555555556,15.555555555555555,18.210526315789476,23,17
PHI,0,117,2.555555555555556,16.333333333333332,18.45,22,10
BOS,0,103,2.555555555555556,17.88888888888889,18.61904761904762,9,18
WSH,1,106,2.555555555555556,17.666666666666668,18.181818181818183,29,27
IND,0,100,2.6666666666666665,19.22222222222222,18.65217391304348,20,1
MIN,0,123,2.888888888888889,20.33333333333333,18.70833333333333,33,21
ATL,0,79,2.888888888888889,21.88888888888889,19.28,7,7
BOS,0,93,2.4444444444444446,20.0,18.807692307692307,18,18
UTA,1,107,2.111111111111111,19.55555555555556,18.77777777777778,4,12
NOP,1,102,1.8888888888888888,18.33333333333333,18.25,14,26
OKC,1,100,2.0,17.333333333333332,18.103448275862068,23,23
PHX,0,88,2.111111111111111,17.444444444444443,18.266666666666666,12,4
DEN,1,116,2.2222222222222223,17.77777777777778,18.06451612903226,13,11
PHX,0,92,2.0,16.0,17.90625,15,4
CHI,1,101,1.5555555555555556,15.444444444444445,17.818181818181817,23,5
MIL,1,100,1.2222222222222223,14.333333333333334,17.970588235294116,16,2
UTA,1,96,1.4444444444444444,15.333333333333334,17.914285714285715,27,12
CHA,0,113,1.6666666666666667,16.333333333333332,18.166666666666668,27,25
NOP,0,103,2.111111111111111,18.88888888888889,18.405405405405407,20,26
SAS,0,102,1.8888888888888888,19.55555555555556,18.44736842105263,14,6
LAC,0,109,1.8888888888888888,18.55555555555556,18.33333333333333,32,15
SAC,1,119,2.0,20.77777777777778,18.675,34,8
IND,1,110,2.2222222222222223,23.11111111111111,19.04878048780488,11,1
BKN,1,109,2.2222222222222223,22.666666666666668,18.857142857142858,13,19
LAC,1,122,2.2222222222222223,21.55555555555556,18.72093023255814,23,15
LAL,0,110,2.555555555555556,22.33333333333333,18.818181818181817,15,3
LAC,0,91,2.333333333333333,21.0,18.73333333333333,8,15
CLE,1,116,1.8888888888888888,18.88888888888889,18.5,15,17
NOP,1,110,2.111111111111111,18.33333333333333,18.425531914893615,21,26
ORL,0,90,2.0,19.11111111111111,18.479166666666668,15,20
MIA,0,107,2.0,17.22222222222222,18.40816326530612,15,22
CHA,1,96,1.7777777777777777,15.11111111111111,18.34,24,25
ATL,0,93,2.2222222222222223,16.555555555555557,18.45098039215686,9,7
PHI,1,110,2.0,16.11111111111111,18.26923076923077,17,10
POR,1,109,1.8888888888888888,15.444444444444445,18.245283018867923,4,29
DAL,0,100,1.7777777777777777,14.22222222222222,17.98148148148148,21,13
OKC,0,109,2.111111111111111,15.666666666666666,18.036363636363635,39,23
PHX,0,101,2.2222222222222223,18.33333333333333,18.410714285714285,9,4
SAS,0,98,2.2222222222222223,17.0,18.24561403508772,32,6
MIN,1,104,2.2222222222222223,18.88888888888889,18.48275862068965,20,21
MEM,0,111,2.333333333333333,19.444444444444443,18.508474576271187,26,16
HOU,0,101,2.333333333333333,19.666666666666668,18.633333333333333,21,14
DEN,0,89,2.333333333333333,21.0,18.672131147540984,17,11
LAL,0,89,2.0,21.0,18.64516129032258,13,3
NYK,0,119,2.111111111111111,22.0,18.55555555555556,29,24
DET,1,101,2.111111111111111,22.88888888888889,18.71875,21,9
MIL,0,72,1.8888888888888888,20.88888888888889,18.753846153846155,7,2
CHI,0,90,1.7777777777777777,20.666666666666668,18.57575757575757,17,5
NYK,1,122,1.6666666666666667,19.0,18.55223880597015,25,24
TOR,1,109,1.5555555555555556,19.55555555555556,18.647058823529413,34,28
DET,0,97,1.3333333333333333,20.444444444444443,18.869565217391305,10,9
UTA,1,85,1.3333333333333333,19.22222222222222,18.742857142857144,20,12
LAC,1,109,1.3333333333333333,19.55555555555556,18.76056338028169,16,15
HOU,1,132,1.3333333333333333,19.88888888888889,18.72222222222222,25,14
MEM,0,92,2.0,10.0,10.0,15,16
LAC,1,104,1.5,12.5,12.5,11,15
MEM,0,103,2.0,12.0,12.0,36,16
OKC,0,87,3.0,18.0,18.0,11,23
POR,0,91,3.0,16.6,16.6,8,29
PHX,1,102,2.5,15.166666666666666,15.166666666666666,9,4
HOU,1,106,2.2857142857142856,14.285714285714286,14.285714285714286,14,14
DEN,1,109,2.375,14.25,14.25,36,11
OKC,0,116,2.7777777777777777,16.666666666666668,16.666666666666668,16,23
SAC,0,106,2.6666666666666665,17.333333333333332,16.6,11,8
UTA,1,119,2.888888888888889,16.88888888888889,16.09090909090909,29,12
SAC,1,93,2.7777777777777777,18.88888888888889,17.166666666666668,3,8
OKC,0,109,2.111111111111111,15.22222222222222,16.076923076923077,15,23
POR,1,101,2.0,15.666666666666666,16.0,32,29
MEM,0,90,2.6666666666666665,18.33333333333333,17.066666666666666,18,16
IND,0,91,2.7777777777777777,19.33333333333333,17.125,12,1
SAS,0,95,2.6666666666666665,19.11111111111111,16.823529411764707,20,6
PHX,0,91,2.333333333333333,17.333333333333332,17.0,10,4
PHI,0,79,2.4444444444444446,16.666666666666668,16.63157894736842,21,10
CHI,1,99,2.4444444444444446,17.77777777777778,16.85,21,5
LAC,0,86,2.333333333333333,16.88888888888889,17.047619047619047,4,15
SAS,0,91,2.0,22.0,22.0,9,6
SAS,1,97,1.5,15.5,15.5,22,6
SAS,0,92,2.6666666666666665,17.666666666666668,17.666666666666668,16,6
SAS,1,100,2.75,17.25,17.25,22,6
DEN,1,92,2.6,18.2,18.2,22,11
DEN,0,100,2.833333333333333,18.83333333333333,18.83333333333333,15,11
DEN,1,115,2.571428571428572,18.285714285714285,18.285714285714285,31,11
DEN,1,110,3.0,19.875,19.875,29,11
DEN,1,131,3.111111111111111,20.88888888888889,20.88888888888889,30,11
DEN,0,95,3.333333333333333,21.77777777777778,21.8,19,11
POR,1,99,3.6666666666666665,22.88888888888889,21.545454545454547,15,29
SAS,1,116,3.555555555555556,22.11111111111111,21.0,35,6
LAL,0,116,4.0,24.22222222222222,22.07692307692308,47,3
OKC,0,97,4.777777777777778,27.0,23.857142857142858,22,23
MIN,1,105,4.666666666666667,27.0,23.73333333333333,24,21
UTA,0,90,4.777777777777778,28.0,23.75,22,12
PHX,1,111,4.555555555555555,27.0,23.647058823529413,18,4
NOP,1,98,4.444444444444445,25.77777777777778,23.33333333333333,20,26
POR,1,125,4.444444444444445,24.666666666666668,23.157894736842103,39,29
SAC,0,98,4.777777777777778,26.88888888888889,23.95,17,8
LAL,1,109,4.555555555555555,27.11111111111111,23.61904761904762,25,3
WSH,1,101,4.111111111111111,26.0,23.681818181818183,35,27
SAS,0,93,3.7777777777777777,24.666666666666668,24.17391304347826,24,6
NOP,1,93,3.888888888888889,24.88888888888889,24.166666666666668,30,26
HOU,1,108,4.333333333333333,25.55555555555556,24.4,29,14
CHI,0,95,4.444444444444445,26.33333333333333,24.57692307692308,8,5
DET,1,105,4.111111111111111,25.22222222222222,23.96296296296296,31,9
NYK,1,92,4.222222222222222,26.444444444444443,24.214285714285715,26,24
MIL,0,93,4.111111111111111,25.0,24.27586206896552,16,2
HOU,0,88,4.111111111111111,24.88888888888889,24.0,24,14
SAC,1,87,4.111111111111111,24.77777777777778,24.0,13,8
TOR,1,125,3.6666666666666665,22.33333333333333,23.65625,26,28
PHI,0,97,3.4444444444444446,22.55555555555556,23.727272727272727,30,10
BOS,0,86,3.111111111111111,22.55555555555556,23.91176470588235,25,18
NYK,0,105,2.888888888888889,22.11111111111111,23.942857142857143,54,24
IND,0,97,4.111111111111111,27.22222222222222,24.77777777777778,38,1
MIN,1,100,4.333333333333333,28.0,25.135135135135137,18,21
SAS,1,107,3.7777777777777777,27.11111111111111,24.94736842105263,19,6
PHX,1,108,3.888888888888889,27.444444444444443,24.7948717948718,20,4
UTA,0,101,3.7777777777777777,27.0,24.675,29,12
HOU,0,107,4.0,28.77777777777778,24.78048780487805,27,14
DAL,0,91,4.0,28.88888888888889,24.83333333333333,18,13
MEM,0,93,3.7777777777777777,27.55555555555556,24.67441860465116,32,16
OKC,0,98,3.888888888888889,28.33333333333333,24.84090909090909,14,23
HOU,0,109,2.888888888888889,23.88888888888889,24.6,7,14
PHX,1,113,2.2222222222222223,20.444444444444443,24.217391304347824,29,4
TOR,1,114,2.7777777777777777,21.666666666666668,24.31914893617021,17,28
MIL,0,102,2.555555555555556,21.444444444444443,24.166666666666668,26,2
CHI,0,87,2.888888888888889,22.11111111111111,24.20408163265306,21,5
OKC,1,104,2.7777777777777777,21.22222222222222,24.14,31,23
LAC,1,106,2.888888888888889,21.666666666666668,24.274509803921568,28,15
NOP,1,116,3.4444444444444446,22.77777777777778,24.346153846153847,20,26
DEN,0,105,3.2222222222222223,21.444444444444443,24.264150943396228,29,11
